x y velocity
8.515783850906286645e-01 2.789508896787799008e-01 2.857035582270633700e+00
8.420527770248285027e-01 3.092444052530817222e-01 2.525438693732112938e+00
8.224958071640701140e-01 3.091437702544252430e-01 2.542852615036026886e+00
8.223140689747003851e-01 2.888390856062989509e-01 2.799982903450502381e+00
8.418976102769417658e-01 2.889808779230474967e-01 2.776113854340206188e+00
8.322674846914300817e-01 3.091904381683401870e-01 2.530762721638200929e+00
8.224318415025290152e-01 2.989891427876120167e-01 2.682904042735033467e+00
8.320991426563851823e-01 2.889060009756685421e-01 2.784349145159655148e+00
8.419978432799051227e-01 2.991101659427460313e-01 2.662933302455788631e+00
8.322080315052590160e-01 2.990457997087217490e-01 2.669320053257568937e+00
8.224540939505835535e-01 3.294503182367112815e-01 2.177821591233373155e+00
8.029381886558705217e-01 3.294202370987414641e-01 2.212381355866316568e+00
8.029918300726888170e-01 3.090828014403066981e-01 2.587302911705601005e+00
8.224958071640701140e-01 3.091437702544252430e-01 2.542852615036026886e+00
8.126903187814182861e-01 3.294301274025166482e-01 2.192221143556316143e+00
8.029986576323686620e-01 3.192542124450108432e-01 2.417022724831606517e+00
8.127374470475152712e-01 3.091069122425890714e-01 2.561733381790488373e+00
8.225037557303609415e-01 3.192988787568659115e-01 2.376982133896959226e+00
8.127450764545922635e-01 3.192707374373454643e-01 2.393854288556446441e+00
8.026110990901144104e-01 3.497186298278876504e-01 1.649700327076763173e+00
7.830784905737889767e-01 3.497486008508014499e-01 1.689770807744757075e+00
7.834635198420029090e-01 3.294422396521871632e-01 2.269929734784763120e+00
8.029381886558705217e-01 3.294202370987414641e-01 2.212381355866316568e+00
7.928412585076007879e-01 3.497280699836528006e-01 1.667505524808307493e+00
7.833107376056320792e-01 3.396036471440740945e-01 2.009755908852042250e+00
7.931964891988335653e-01 3.294232752648402207e-01 2.238313508877618041e+00
8.028092373443210805e-01 3.395765140535781934e-01 1.960891105714271720e+00
7.930560492794289651e-01 3.395833084656404433e-01 1.982714421426540419e+00
7.823730217370629125e-01 3.699714285189462659e-01 8.923057408180841144e-01
7.627532487148802609e-01 3.700309667619530174e-01 9.302793396754943656e-01
7.635643650316426001e-01 3.498319992577926252e-01 1.748291891007783594e+00
7.830784905737889767e-01 3.497486008508014499e-01 1.689770807744757075e+00
7.725625151318130657e-01 3.699968185401495968e-01 9.095237752841629497e-01
7.632046776075530614e-01 3.599448653738532289e-01 1.357225261304742636e+00
7.733205062317102252e-01 3.497824351633507800e-01 1.716665727245542117e+00
7.827660761195041061e-01 3.598727390446173624e-01 1.309107367078399031e+00
7.729846619366771421e-01 3.599027388400640737e-01 1.331106800341231855e+00
