x y mesh_s
2.158234043423667980e-01 2.649191387234431927e-01 9.999999999999995559e-01
2.158507290481884444e-01 2.590857088522964258e-01 1.000000000000000000e+00
2.214710903710614409e-01 2.643545749881960893e-01 1.000000000000000000e+00
2.235362180981268487e-01 2.574357757633328747e-01 1.000000000000000000e+00
2.186609757338465743e-01 2.616153298496630142e-01 1.000000000000000444e+00
2.225035704166459793e-01 2.609661193792466305e-01 9.999999999999997780e-01
2.196934861865173505e-01 2.583561444773494475e-01 9.999999999999995559e-01
2.179159778782446544e-01 2.526984658041261378e-01 1.000000000000000000e+00
2.235362180981268487e-01 2.574357757633328747e-01 1.000000000000000000e+00
2.256020659679852935e-01 2.499009950128942004e-01 1.000000000000000000e+00
2.207261624883803119e-01 2.549720707977673473e-01 1.000000000000000444e+00
2.245690393775195137e-01 2.537516190978680863e-01 9.999999999999997780e-01
2.217590127173187098e-01 2.514521858365950102e-01 9.999999999999995559e-01
2.199819526115602830e-01 2.458336299321809137e-01 1.000000000000000000e+00
2.256020659679852935e-01 2.499009950128942004e-01 1.000000000000000000e+00
2.276686454255590908e-01 2.416466809713949115e-01 1.000000000000000000e+00
2.227920499098522411e-01 2.477850294246562446e-01 1.000000000000000444e+00
2.266352816017312699e-01 2.458706750996836610e-01 9.999999999999997780e-01
2.238252991132010650e-01 2.439585612320239738e-01 9.999999999999995559e-01
2.028766464911487821e-01 3.652986833169230008e-01 1.000000000000000000e+00
1.892679939399531386e-01 3.675796496269041480e-01 1.000000000000000000e+00
2.013654187346004820e-01 3.876502608074672285e-01 1.000000000000000000e+00
1.960723926782105830e-01 3.664388636893957107e-01 1.000000000000000444e+00
1.953164725400783897e-01 3.776159209379643111e-01 9.999999999999997780e-01
2.021209386074964698e-01 3.764748829991496071e-01 9.999999999999995559e-01
1.907809261223736008e-01 3.452210345075162334e-01 1.000000000000000000e+00
2.028766464911487821e-01 3.652986833169230008e-01 1.000000000000000000e+00
2.043889591597622957e-01 3.429424280343321141e-01 1.000000000000000000e+00
1.968285547109070166e-01 3.552607802306125273e-01 1.000000000000000444e+00
2.036326251081146399e-01 3.541213086519514053e-01 9.999999999999997780e-01
1.975850320917467706e-01 3.440813654925999332e-01 9.999999999999995559e-01
1.922952324185719930e-01 3.228567502674057343e-01 1.000000000000000000e+00
2.043889591597622957e-01 3.429424280343321141e-01 1.000000000000000000e+00
2.059030072745079432e-01 3.205789440618476704e-01 1.000000000000000000e+00
1.983418979146606420e-01 3.329003414484037471e-01 1.000000000000000444e+00
2.051457277757544884e-01 3.317617316641451319e-01 9.999999999999997780e-01
1.990992191918903864e-01 3.217174562743910782e-01 9.999999999999995559e-01
1.922952324185719930e-01 3.228567502674057343e-01 1.000000000000000000e+00
1.999037253819848092e-01 3.081180367377809870e-01 1.000000000000000000e+00
2.059030072745079432e-01 3.205789440618476704e-01 1.000000000000000000e+00
1.960993955671643529e-01 3.154877416173694771e-01 1.000000000000000444e+00
2.029032934700124025e-01 3.143487565639279668e-01 9.999999999999997780e-01
1.990992191918903864e-01 3.217174562743910782e-01 9.999999999999995559e-01
1.999037253819848092e-01 3.081180367377809870e-01 1.000000000000000000e+00
2.052003221001540423e-01 2.956648353515978767e-01 1.000000000000000000e+00
2.111986498238228593e-01 3.081294299188269137e-01 1.000000000000000000e+00
2.025519281053458631e-01 3.018918177783234125e-01 1.000000000000000444e+00
2.081994174828785127e-01 3.018973712650396268e-01 9.999999999999997780e-01
2.055512690028084288e-01 3.081234156574239602e-01 9.999999999999995559e-01
2.052003221001540423e-01 2.956648353515978767e-01 1.000000000000000000e+00
2.104977869210152563e-01 2.832082103316558852e-01 1.000000000000000000e+00
2.164950236903873115e-01 2.956769094751330318e-01 1.000000000000000000e+00
2.078489315297697426e-01 2.894369991429255884e-01 1.000000000000000444e+00
2.134963452988459798e-01 2.894427564529907237e-01 9.999999999999997780e-01
2.108477653067258595e-01 2.956705192023700302e-01 9.999999999999995559e-01
2.104977869210152563e-01 2.832082103316558852e-01 1.000000000000000000e+00
2.157963437215232594e-01 2.707474142567448672e-01 1.000000000000000000e+00
2.217923558264966177e-01 2.832205867113362086e-01 1.000000000000000000e+00
2.131469207670465549e-01 2.769783544679268461e-01 1.000000000000000444e+00
2.187942970178720636e-01 2.769841667636852023e-01 9.999999999999997780e-01
2.161451784872104043e-01 2.832140022556359216e-01 9.999999999999995559e-01
2.157963437215232594e-01 2.707474142567448672e-01 1.000000000000000000e+00
2.214710903710614409e-01 2.643545749881960893e-01 1.000000000000000000e+00
2.270908486516146352e-01 2.707598535475318480e-01 1.000000000000000000e+00
2.186336354801154958e-01 2.677067330244115029e-01 1.000000000000000444e+00
2.242810575351605329e-01 2.673758073772040667e-01 9.999999999999997780e-01
2.214437213242259894e-01 2.707531815572267186e-01 9.999999999999995559e-01
2.214710903710614409e-01 2.643545749881960893e-01 1.000000000000000000e+00
2.235362180981268487e-01 2.574357757633328747e-01 1.000000000000000000e+00
2.291558459963504712e-01 2.632268583659350680e-01 1.000000000000000000e+00
2.225035704166461459e-01 2.609661193792468525e-01 1.000000000000000444e+00
2.263461139688775492e-01 2.601608018043831683e-01 9.999999999999997780e-01
2.253135021293274365e-01 2.638485185144712197e-01 9.999999999999995559e-01
2.235362180981268487e-01 2.574357757633328747e-01 1.000000000000000000e+00
2.256020659679852935e-01 2.499009950128942004e-01 1.000000000000000000e+00
2.312216340439402218e-01 2.549090004144605737e-01 1.000000000000000000e+00
2.245690393775196525e-01 2.537516190978682529e-01 1.000000000000000444e+00
2.284119622839756447e-01 2.522500172770351656e-01 9.999999999999997780e-01
2.273789356012531349e-01 2.562993139829185529e-01 9.999999999999995559e-01
2.256020659679852935e-01 2.499009950128942004e-01 1.000000000000000000e+00
2.276686454255590908e-01 2.416466809713949115e-01 1.000000000000000000e+00
2.332885646661805035e-01 2.456705738305170750e-01 1.000000000000000000e+00
2.266352816017314364e-01 2.458706750996838830e-01 1.000000000000000444e+00
2.304785552753720879e-01 2.435270147236922034e-01 9.999999999999997780e-01
2.294451942966189983e-01 2.479978868115764179e-01 9.999999999999995559e-01
2.028766464911487821e-01 3.652986833169230008e-01 1.000000000000000000e+00
2.176267962937916411e-01 3.674545147486887875e-01 1.000000000000000000e+00
2.013654187346004820e-01 3.876502608074672285e-01 1.000000000000000000e+00
2.102517681873504740e-01 3.663763849971754527e-01 1.000000000000000444e+00
2.094963785887288821e-01 3.775512946130809566e-01 9.999999999999997780e-01
2.021209386074964698e-01 3.764748829991496071e-01 9.999999999999995559e-01
2.028766464911487821e-01 3.652986833169230008e-01 1.000000000000000000e+00
2.043889591597622957e-01 3.429424280343321141e-01 1.000000000000000000e+00
2.191378816944427321e-01 3.451030998499614588e-01 1.000000000000000000e+00
2.036326251081147787e-01 3.541213086519516828e-01 1.000000000000000444e+00
2.117635108371808683e-01 3.440223746655126091e-01 9.999999999999997780e-01
2.110074475861610233e-01 3.552002032311193380e-01 9.999999999999995559e-01
2.043889591597622957e-01 3.429424280343321141e-01 1.000000000000000000e+00
2.059030072745079432e-01 3.205789440618476704e-01 1.000000000000000000e+00
2.206510089064895042e-01 3.227429540488598869e-01 1.000000000000000000e+00
2.051457277757546271e-01 3.317617316641453540e-01 1.000000000000000444e+00
2.132771406712252182e-01 3.216604077657242988e-01 9.999999999999997780e-01
