x y mesh_f
2.439147204599143304e-01 2.226776676542577271e-01 9.999999999999995559e-01
2.539568979446419905e-01 1.899999996272438429e-01 1.000000000000000000e+00
2.707106810696858767e-01 1.638181819743836920e-01 1.000000000000000000e+00
2.707106783722530441e-01 1.900000003010506033e-01 1.000000000000000000e+00
2.623337886695549792e-01 1.769090903109959423e-01 1.000000000000000444e+00
2.707106782135380030e-01 1.769090903366768164e-01 9.999999999999997780e-01
2.623337882942234911e-01 1.899999999209849022e-01 9.999999999999995559e-01
3.020857839594224825e-01 2.452700867301071119e-01 1.000000000000000000e+00
2.897572302843854919e-01 2.099999984972338585e-01 1.000000000000000000e+00
3.147616182542374852e-01 2.100000036161675243e-01 1.000000000000000000e+00
2.959215292588448509e-01 2.276350587992627683e-01 1.000000000000000444e+00
3.022594222141263276e-01 2.099999999524272964e-01 9.999999999999997780e-01
3.084237035316897968e-01 2.276350470729300857e-01 9.999999999999995559e-01
2.353553391266959838e-01 1.899999996677856073e-01 1.000000000000000000e+00
2.539568979446419905e-01 1.899999996272438429e-01 1.000000000000000000e+00
2.353553384714955343e-01 1.646446614984929391e-01 1.000000000000000000e+00
2.446561195614448125e-01 1.900000002487726158e-01 1.000000000000000444e+00
2.446561187928709136e-01 1.773223303648794880e-01 9.999999999999997780e-01
2.353553392950919754e-01 1.773223306202511007e-01 9.999999999999995559e-01
2.539568979446419905e-01 1.899999996272438429e-01 1.000000000000000000e+00
2.707106810696858767e-01 1.638181819743836920e-01 1.000000000000000000e+00
2.353553384714955343e-01 1.646446614984929391e-01 1.000000000000000000e+00
2.623337886695549792e-01 1.769090903109959423e-01 1.000000000000000444e+00
2.530330099648361863e-01 1.642314214118990867e-01 9.999999999999997780e-01
2.446561187928708581e-01 1.773223303648794325e-01 9.999999999999995559e-01
2.707106810696858767e-01 1.638181819743836920e-01 1.000000000000000000e+00
2.707106774633010193e-01 1.292893215998651701e-01 1.000000000000000000e+00
2.353553384714955343e-01 1.646446614984929391e-01 1.000000000000000000e+00
2.707106777912725026e-01 1.465537508931854527e-01 1.000000000000000444e+00
2.530330075549209745e-01 1.469669910715857841e-01 9.999999999999997780e-01
2.530330099648360753e-01 1.642314214118990312e-01 9.999999999999995559e-01
2.707106810696858767e-01 1.638181819743836920e-01 1.000000000000000000e+00
3.119937471188922173e-01 1.517218181649296893e-01 1.000000000000000000e+00
2.707106774633010193e-01 1.292893215998651701e-01 1.000000000000000000e+00
2.913522149319598409e-01 1.577700004346666018e-01 1.000000000000000444e+00
2.913522143223725158e-01 1.405055704047448728e-01 9.999999999999997780e-01
2.707106777912722251e-01 1.465537508931853417e-01 9.999999999999995559e-01
2.707106810696858767e-01 1.638181819743836920e-01 1.000000000000000000e+00
2.707106783722530441e-01 1.900000003010506033e-01 1.000000000000000000e+00
2.897572374277071483e-01 1.900000032396678418e-01 1.000000000000000000e+00
2.707106782135382250e-01 1.769090903366769552e-01 1.000000000000000444e+00
2.802339559906055766e-01 1.900000005512531842e-01 9.999999999999997780e-01
2.802339566154785633e-01 1.769090910778291781e-01 9.999999999999995559e-01
2.707106810696858767e-01 1.638181819743836920e-01 1.000000000000000000e+00
2.897572374277071483e-01 1.900000032396678418e-01 1.000000000000000000e+00
3.119937471188922173e-01 1.517218181649296893e-01 1.000000000000000000e+00
2.802339566154787298e-01 1.769090910778293169e-01 1.000000000000000444e+00
3.008754894051590689e-01 1.708609085785846859e-01 9.999999999999997780e-01
2.913522149319595633e-01 1.577700004346664353e-01 9.999999999999995559e-01
4.101033132997632785e-10 4.892935629798964540e-10 1.000000000000000000e+00
7.631029488513162151e-02 7.738120498697993732e-02 1.000000000000000000e+00
-2.500445448589925663e-10 1.047115936130845193e-01 1.000000000000000000e+00
3.815514768820085778e-02 3.869060279200287750e-02 1.000000000000000444e+00
3.815514751572436636e-02 9.104639953714740996e-02 9.999999999999997780e-01
-9.383858221643774429e-11 5.235579680302544087e-02 9.999999999999995559e-01
4.101033132997632785e-10 4.892935629798964540e-10 1.000000000000000000e+00
7.631029488513162151e-02 7.738120498697993732e-02 1.000000000000000000e+00
1.095940711656177291e-01 2.635100942067644109e-10 1.000000000000000000e+00
3.815514768820085778e-02 3.869060279200287750e-02 1.000000000000000444e+00
9.295218298902033216e-02 3.869060248316683048e-02 9.999999999999997780e-01
5.479703528654972233e-02 -2.803057613502037289e-10 9.999999999999995559e-01
7.631029488513162151e-02 7.738120498697993732e-02 1.000000000000000000e+00
-2.500445448589925663e-10 1.047115936130845193e-01 1.000000000000000000e+00
6.919406128714405968e-02 1.468742456839391974e-01 1.000000000000000000e+00
3.815514751572438024e-02 9.104639953714747935e-02 1.000000000000000444e+00
3.459703088359767503e-02 1.257929200767585742e-01 9.999999999999997780e-01
7.275217843912976101e-02 1.121277251597489338e-01 9.999999999999995559e-01
7.631029488513162151e-02 7.738120498697993732e-02 1.000000000000000000e+00
1.095940711656177291e-01 2.635100942067644109e-10 1.000000000000000000e+00
1.527124181660098334e-01 6.938236081951382195e-02 1.000000000000000000e+00
9.295218298902038767e-02 3.869060248316685824e-02 1.000000000000000444e+00
1.311532447822382763e-01 3.469118055852498522e-02 9.999999999999997780e-01
1.145113560582326218e-01 7.338178309321005677e-02 9.999999999999995559e-01
7.631029488513162151e-02 7.738120498697993732e-02 1.000000000000000000e+00
6.919406128714405968e-02 1.468742456839391974e-01 1.000000000000000000e+00
1.292893226243455318e-01 1.292893225527091128e-01 1.000000000000000000e+00
7.275217843912987203e-02 1.121277251597490171e-01 1.000000000000000444e+00
9.924169146077387038e-02 1.380817828827591576e-01 9.999999999999997780e-01
1.027998085891698443e-01 1.033352635758931493e-01 9.999999999999995559e-01
7.631029488513162151e-02 7.738120498697993732e-02 1.000000000000000000e+00
1.527124181660098334e-01 6.938236081951382195e-02 1.000000000000000000e+00
1.292893226243455318e-01 1.292893225527091128e-01 1.000000000000000000e+00
1.145113560582327328e-01 7.338178309321011228e-02 1.000000000000000444e+00
1.410008692151830112e-01 9.933584136324243030e-02 9.999999999999997780e-01
1.027998085891698443e-01 1.033352635758931493e-01 9.999999999999995559e-01
1.527124181660098334e-01 6.938236081951382195e-02 1.000000000000000000e+00
1.292893226243455318e-01 1.292893225527091128e-01 1.000000000000000000e+00
1.866313838044649787e-01 1.292893220406549915e-01 1.000000000000000000e+00
1.410008692151831500e-01 9.933584136324251357e-02 1.000000000000000444e+00
1.579603530645194709e-01 1.292893221958288652e-01 9.999999999999997780e-01
1.696719000356745888e-01 9.933584145919097108e-02 9.999999999999995559e-01
-2.500445448589925663e-10 1.047115936130845193e-01 1.000000000000000000e+00
6.919406128714405968e-02 1.468742456839391974e-01 1.000000000000000000e+00
7.568144530153012907e-10 2.049999983604937348e-01 1.000000000000000000e+00
3.459703088359770279e-02 1.257929200767586575e-01 1.000000000000000444e+00
3.459703119405858895e-02 1.759371224348968143e-01 9.999999999999997780e-01
6.937300686567814633e-11 1.548557979623194081e-01 9.999999999999995559e-01
6.919406128714405968e-02 1.468742456839391974e-01 1.000000000000000000e+00
7.991867061819232787e-02 2.014281436458689734e-01 1.000000000000000000e+00
7.568144530153012907e-10 2.049999983604937348e-01 1.000000000000000000e+00
7.455636636103599169e-02 1.741511952483747183e-01 1.000000000000000444e+00
3.995933512981222901e-02 2.032140725618732380e-01 9.999999999999997780e-01
3.459703119405856120e-02 1.759371224348967866e-01 9.999999999999995559e-01
6.919406128714405968e-02 1.468742456839391974e-01 1.000000000000000000e+00
1.292893227278561208e-01 1.780054664918992446e-01 1.000000000000000000e+00
7.991867061819232787e-02 2.014281436458689734e-01 1.000000000000000000e+00
9.924169122169623769e-02 1.624398547433225926e-01 1.000000000000000444e+00
1.046039963613081547e-01 1.897168048092930936e-01 9.999999999999997780e-01
7.455636636103590842e-02 1.741511952483745518e-01 9.999999999999995559e-01
1.095940711656177291e-01 2.635100942067644109e-10 1.000000000000000000e+00
1.527124181660098334e-01 6.938236081951382195e-02 1.000000000000000000e+00
2.164721646596783344e-01 -7.043654028344121243e-10 1.000000000000000000e+00
1.311532447822383873e-01 3.469118055852501992e-02 1.000000000000000444e+00
1.845922925670581138e-01 3.469118058129316839e-02 9.999999999999997780e-01
1.630331210624118288e-01 5.730821316659361591e-11 9.999999999999995559e-01
6.919406128714405968e-02 1.468742456839391974e-01 1.000000000000000000e+00
1.292893226243455318e-01 1.292893225527091128e-01 1.000000000000000000e+00
1.292893227278561208e-01 1.780054664918992446e-01 1.000000000000000000e+00
9.924169146077393977e-02 1.380817828827592963e-01 1.000000000000000444e+00
1.292893219532583737e-01 1.536473926386654754e-01 9.999999999999997780e-01
9.924169122169612667e-02 1.624398547433224260e-01 9.999999999999995559e-01
1.527124181660098334e-01 6.938236081951382195e-02 1.000000000000000000e+00
2.164721646596783344e-01 -7.043654028344121243e-10 1.000000000000000000e+00
2.072663039655797401e-01 8.211020110278104134e-02 1.000000000000000000e+00
1.845922925670582526e-01 3.469118058129318921e-02 1.000000000000000444e+00
2.118692363543301371e-01 4.105509964622260088e-02 9.999999999999997780e-01
1.799893601373971086e-01 7.574628048813483727e-02 9.999999999999995559e-01
1.292893226243455318e-01 1.292893225527091128e-01 1.000000000000000000e+00
1.646446615211394349e-01 1.646446636129630381e-01 1.000000000000000000e+00
1.292893227278561208e-01 1.780054664918992446e-01 1.000000000000000000e+00
1.469669916424551637e-01 1.469669911438793997e-01 1.000000000000000444e+00
1.469669907470030346e-01 1.713250639461731117e-01 9.999999999999997780e-01
1.292893219532583460e-01 1.536473926386654199e-01 9.999999999999995559e-01
1.527124181660098334e-01 6.938236081951382195e-02 1.000000000000000000e+00
1.866313838044649787e-01 1.292893220406549915e-01 1.000000000000000000e+00
2.072663039655797401e-01 8.211020110278104134e-02 1.000000000000000000e+00
1.696719000356748108e-01 9.933584145919105435e-02 1.000000000000000444e+00
1.969488430002206136e-01 1.056997598262257865e-01 9.999999999999997780e-01
1.799893601373971086e-01 7.574628048813483727e-02 9.999999999999995559e-01
1.292893226243455318e-01 1.292893225527091128e-01 1.000000000000000000e+00
1.866313838044649787e-01 1.292893220406549915e-01 1.000000000000000000e+00
1.646446615211394349e-01 1.646446636129630381e-01 1.000000000000000000e+00
1.579603530645195819e-01 1.292893221958289207e-01 1.000000000000000444e+00
1.756380227915398939e-01 1.469669920916333028e-01 9.999999999999997780e-01
1.469669916424550249e-01 1.469669911438792886e-01 9.999999999999995559e-01
1.866313838044649787e-01 1.292893220406549915e-01 1.000000000000000000e+00
2.072663039655797401e-01 8.211020110278104134e-02 1.000000000000000000e+00
2.305416450621673718e-01 1.292893204635098270e-01 1.000000000000000000e+00
1.969488430002207247e-01 1.056997598262258836e-01 1.000000000000000444e+00
2.189039766853981550e-01 1.056997613273760322e-01 9.999999999999997780e-01
2.085865147132956732e-01 1.292893212780284462e-01 9.999999999999995559e-01
1.866313838044649787e-01 1.292893220406549915e-01 1.000000000000000000e+00
2.050604049164181097e-01 1.646446611655209002e-01 1.000000000000000000e+00
1.646446615211394349e-01 1.646446636129630381e-01 1.000000000000000000e+00
1.958458941853785384e-01 1.469669913491656599e-01 1.000000000000000444e+00
1.848525330371009745e-01 1.646446611085020384e-01 9.999999999999997780e-01
1.756380227915398384e-01 1.469669920916333028e-01 9.999999999999995559e-01
1.866313838044649787e-01 1.292893220406549915e-01 1.000000000000000000e+00
2.050604049164181097e-01 1.646446611655209002e-01 1.000000000000000000e+00
2.305416450621673718e-01 1.292893204635098270e-01 1.000000000000000000e+00
1.958458941853785384e-01 1.469669913491656599e-01 1.000000000000000444e+00
2.178010253443343480e-01 1.469669912116312316e-01 9.999999999999997780e-01
2.085865147132956732e-01 1.292893212780284462e-01 9.999999999999995559e-01
2.050604049164181097e-01 1.646446611655209002e-01 1.000000000000000000e+00
2.305416450621673718e-01 1.292893204635098270e-01 1.000000000000000000e+00
2.353553384714955343e-01 1.646446614984929391e-01 1.000000000000000000e+00
2.178010253443345423e-01 1.469669912116313149e-01 1.000000000000000444e+00
2.329484947001563555e-01 1.469669922253089289e-01 9.999999999999997780e-01
2.202078718855157158e-01 1.646446612814531085e-01 9.999999999999995559e-01
1.646446603018911770e-01 2.003011623862414881e-01 1.000000000000000000e+00
1.646446615211394349e-01 1.646446636129630381e-01 1.000000000000000000e+00
1.292893227278561208e-01 1.780054664918992446e-01 1.000000000000000000e+00
1.646446610541973943e-01 1.824729117075972462e-01 1.000000000000000444e+00
1.469669907470030346e-01 1.713250639461731117e-01 9.999999999999997780e-01
1.469669915443317654e-01 1.891533137515511998e-01 9.999999999999995559e-01
1.646446603018911770e-01 2.003011623862414881e-01 1.000000000000000000e+00
1.292893222202433634e-01 2.218010812017438826e-01 1.000000000000000000e+00
1.292893227278561208e-01 1.780054664918992446e-01 1.000000000000000000e+00
1.469669909578907863e-01 2.110511215569594312e-01 1.000000000000000444e+00
1.292893218971306601e-01 1.999032727764711581e-01 9.999999999999997780e-01
1.469669915443317654e-01 1.891533137515511998e-01 9.999999999999995559e-01
1.292893222202433634e-01 2.218010812017438826e-01 1.000000000000000000e+00
1.292893227278561208e-01 1.780054664918992446e-01 1.000000000000000000e+00
7.991867061819232787e-02 2.014281436458689734e-01 1.000000000000000000e+00
1.292893218971307434e-01 1.999032727764712969e-01 1.000000000000000444e+00
1.046039963613081547e-01 1.897168048092930936e-01 9.999999999999997780e-01
1.046039959780840078e-01 2.116146130278645232e-01 9.999999999999995559e-01
6.837518605650877435e-02 2.546077830101076134e-01 1.000000000000000000e+00
7.991867061819232787e-02 2.014281436458689734e-01 1.000000000000000000e+00
7.568144530153012907e-10 2.049999983604937348e-01 1.000000000000000000e+00
7.414692833953828721e-02 2.280179640013274001e-01 1.000000000000000444e+00
3.995933512981222901e-02 2.032140725618732380e-01 9.999999999999997780e-01
3.418759331589656114e-02 2.298038910332146634e-01 9.999999999999995559e-01
1.646446603018911770e-01 2.003011623862414881e-01 1.000000000000000000e+00
1.292893222202433634e-01 2.218010812017438826e-01 1.000000000000000000e+00
1.646446602235250856e-01 2.353553381256023591e-01 1.000000000000000000e+00
1.469669909578907863e-01 2.110511215569594312e-01 1.000000000000000444e+00
1.469669911795450090e-01 2.285782094917582219e-01 9.999999999999997780e-01
1.646446612169854551e-01 2.178282517622232017e-01 9.999999999999995559e-01
1.292893222202433634e-01 2.218010812017438826e-01 1.000000000000000000e+00
6.837518605650877435e-02 2.546077830101076134e-01 1.000000000000000000e+00
7.991867061819232787e-02 2.014281436458689734e-01 1.000000000000000000e+00
