x y p
1.244449752912601959e+00 3.198151674641819819e-01 2.886211491103334126e+01
1.259156124966126500e+00 3.198127706859951180e-01 3.732656402074116642e+01
1.249891086131924345e+00 3.069340765922211056e-01 3.558846660708862686e+01
1.279610400242621182e+00 3.069366805250229868e-01 5.819184434483689472e+01
1.261193552975627519e+00 2.812793231939479388e-01 5.093911824346584183e+01
1.264751104947591243e+00 3.069349591604617067e-01 4.724044900532839364e+01
1.270400804033917641e+00 2.941072352109911914e-01 5.728648805816738587e+01
1.255540343517043578e+00 2.941065939435718590e-01 4.468314697046533013e+01
1.290914554320123697e+00 2.812812923695777734e-01 7.347046161479123327e+01
1.261193552975627519e+00 2.812793231939479388e-01 5.093911824346584183e+01
1.272511723609388579e+00 2.556252659329816823e-01 1.382371926401219220e+01
1.276054352409609960e+00 2.812798196737042455e-01 6.405081356671405501e+01
1.266850690658912981e+00 2.684522218612950817e-01 3.906364216222763730e+01
1.281711744188545721e+00 2.684526724919077401e-01 5.816466577888341050e+01
1.272511723609388579e+00 2.556252659329816823e-01 1.382371926401219220e+01
1.302233773848836318e+00 2.556272804748609406e-01 3.851192454739521764e+01
1.283845339228725457e+00 2.299717625713743607e-01 -2.163099243468135668e+01
1.287372963940079940e+00 2.556257658906567198e-01 3.092326404612359880e+01
1.293037992292266347e+00 2.427990815663689517e-01 -1.086204886001319592e+00
1.278176617013131233e+00 2.427984459575633081e-01 -9.451697053223499623e+00
1.259375764093688899e+00 1.531781818007773299e-01 -2.651176439521494785e+02
1.271967137184314200e+00 1.276107427334297328e-01 -2.867177868066901283e+02
1.289852157803866639e+00 1.531832613098119134e-01 -1.813202213072926838e+02
1.265669525296118980e+00 1.403943171586659600e-01 -2.818436962367648562e+02
1.280907409327056046e+00 1.403971375902532959e-01 -2.394420280873985689e+02
1.274613830157161232e+00 1.531800798896952309e-01 -2.234873220057573917e+02
1.200690871206537169e+00 2.551256820032250447e-02 -2.828159755441779453e+02
1.187892492256492405e+00 5.102600264869917857e-02 -2.964674916207094384e+02
1.218527771992943043e+00 5.102066147764430099e-02 -3.222748019845730596e+02
1.194288616282767723e+00 3.826885680214591606e-02 -2.895946118591833738e+02
1.203209535524141671e+00 5.102301964369517634e-02 -3.161555438834432152e+02
1.209606016116891336e+00 3.826720108813819188e-02 -3.029504996042914513e+02
1.182883017884372556e+00 0.000000000000000000e+00 -2.501691857935307723e+02
1.170058427780768184e+00 2.551470342120949752e-02 -2.320771007828802510e+02
1.200690871206537169e+00 2.551256820032250447e-02 -2.828159755441779453e+02
1.176466974949977429e+00 1.275717174364044033e-02 -2.394551166330543595e+02
1.185374226414949606e+00 2.551352573189652473e-02 -2.629768975390550736e+02
1.191782938412723647e+00 1.275680821854174168e-02 -2.645614503537880751e+02
1.206461671653986212e+00 4.099999999999999756e-01 1.195729100601852002e+00
1.217299775540815698e+00 3.842286604788687221e-01 8.890064052184495580e+00
1.187417484099845488e+00 3.841835087074531585e-01 -9.543674026052299197e+00
1.211879572699477103e+00 3.971138140264428573e-01 4.425990134234717210e+00
1.202358972017437466e+00 3.842059992487814601e-01 1.742315247982432425e+00
1.196940207401764988e+00 3.970908144173617149e-01 -4.635109089100026836e+00
1.217299775540815698e+00 3.842286604788687221e-01 8.890064052184495580e+00
1.228149060852572916e+00 3.584611651737052984e-01 1.750136698152615367e+01
1.198261128858315372e+00 3.584185467249843549e-01 7.388849601496947805e+00
1.222722803731374430e+00 3.713444786671734055e-01 1.376233578268612767e+01
1.213205649193453750e+00 3.584395912073273793e-01 1.369160052555440465e+01
1.207780630851303938e+00 3.713223131184508752e-01 8.417278876633307760e+00
1.228149060852572916e+00 3.584611651737052984e-01 1.750136698152615367e+01
1.239012364326251170e+00 3.326966369910916987e-01 2.352484547191913222e+01
1.209120355126850344e+00 3.326569221503571372e-01 1.198557101410324854e+01
1.233578844998004742e+00 3.455785948164224464e-01 2.083280656463739433e+01
1.224066992553860977e+00 3.326763117455774910e-01 1.793603579394394743e+01
1.218634361629389096e+00 3.455576511433517961e-01 1.636053880737096478e+01
1.239012364326251170e+00 3.326966369910916987e-01 2.352484547191913222e+01
1.249891086131924345e+00 3.069340765922211056e-01 3.558846660708862686e+01
1.219996670250279580e+00 3.068967946611894648e-01 4.967746442171492305e+00
1.244449752912601959e+00 3.198151674641819819e-01 2.886211491103334126e+01
1.234944477141567853e+00 3.069147927188505820e-01 1.994368990667644326e+01
1.229503676359526398e+00 3.197954065220622311e-01 1.799307504138904790e+01
1.249891086131924345e+00 3.069340765922211056e-01 3.558846660708862686e+01
1.261193552975627519e+00 2.812793231939479388e-01 5.093911824346584183e+01
1.231114845381081402e+00 2.812757179052825518e-01 4.911659630565237578e+00
1.255540343517043578e+00 2.941065939435718590e-01 4.468314697046533013e+01
1.246154690900460826e+00 2.812767582496236152e-01 2.675909706025632318e+01
1.240501726121000958e+00 2.941038084031440958e-01 2.317887371471483959e+01
1.261193552975627519e+00 2.812793231939479388e-01 5.093911824346584183e+01
