x y solution_f
2.052002532036939497e-01 2.956446312979010282e-01 3.810061163004191620e+00
2.111956396362184296e-01 3.081108459472690075e-01 3.597655658132063561e+00
2.164924024948516046e-01 2.956580153634818520e-01 3.872415634798286987e+00
2.081979464199562035e-01 3.018777386225850456e-01 3.704671208590546883e+00
2.138440210655350171e-01 3.018844306553754020e-01 3.738300526855965256e+00
2.108463278492727633e-01 2.956513233306914401e-01 3.843882451836977854e+00
2.104979406964509192e-01 2.831886871482030554e-01 4.080864131609896361e+00
2.164924024948516046e-01 2.956580153634818520e-01 3.872415634798286987e+00
2.217905833715575481e-01 2.831990741974174663e-01 4.111675814340871149e+00
2.134951715956512619e-01 2.894233512558424537e-01 3.976252160565175942e+00
2.191414929332045625e-01 2.894285447804496592e-01 3.998189038957805863e+00
2.161442620340042198e-01 2.831938806728102609e-01 4.098795780688277546e+00
2.157965387103986388e-01 2.707363610385208896e-01 4.154239789865792787e+00
2.217905833715575481e-01 2.831990741974174663e-01 4.111675814340871149e+00
2.270900111338990390e-01 2.707368112591497233e-01 3.925600401994983280e+00
2.187935610409780796e-01 2.769677176179691780e-01 4.191653562008473166e+00
2.244402972527282936e-01 2.769679427282836226e-01 4.179153952117535376e+00
2.214432749221488250e-01 2.707365861488353342e-01 4.050733815235552981e+00
2.214715337902793402e-01 2.643711735537530583e-01 3.088218526814867193e+00
2.270900111338990390e-01 2.707368112591497233e-01 3.925600401994983280e+00
2.291567515980735825e-01 2.630328938519976290e-01 2.426936234348190613e+00
2.242807724620891896e-01 2.675539924064513908e-01 3.577836718162862972e+00
2.281233813659863108e-01 2.668848525555737039e-01 3.373135198420790903e+00
2.253141426941764613e-01 2.637020337028753714e-01 2.766552602149721540e+00
2.235366942147028468e-01 2.575058971457887536e-01 1.098087396077942701e+00
2.291567515980735825e-01 2.630328938519976290e-01 2.426936234348190613e+00
2.312237276111474560e-01 2.545053553693285564e-01 4.783560195602917786e-01
2.263467229063882147e-01 2.602693954988931635e-01 1.714071755874116310e+00
2.301902396046105193e-01 2.587691246106630927e-01 1.336765677061855895e+00
2.273802109129251514e-01 2.560056262575586272e-01 7.618781505030202128e-01
2.256057364136114241e-01 2.500929016667426397e-01 8.358551770434990980e-02
2.312237276111474560e-01 2.545053553693285564e-01 4.783560195602917786e-01
2.332838260359779148e-01 2.450963373462973771e-01 1.845293996027407291e-01
2.284147320123794400e-01 2.522991285180355980e-01 1.723809084415101889e-01
2.322537768235626854e-01 2.498008463578129668e-01 1.044628573248055914e-01
2.294447812247946694e-01 2.475946195065200084e-01 1.409313729115234948e-01
2.176192379426691303e-01 3.674516159728846709e-01 2.296295950294447330e+00
2.013631869526588125e-01 3.876467150369138914e-01 1.645443625481892047e+00
2.161129263256410249e-01 3.897995903044598198e-01 1.669072644020388019e+00
2.094912124476639714e-01 3.775491655048992534e-01 1.985392182554713836e+00
2.087380566391499048e-01 3.887231526706868556e-01 1.659806228811843587e+00
2.168660821341550915e-01 3.786256031386722176e-01 2.005617245130723258e+00
2.028726108711706722e-01 3.652915168978345672e-01 2.250380686106436379e+00
2.176192379426691303e-01 3.674516159728846709e-01 2.296295950294447330e+00
2.191275271997807084e-01 3.450991383718575167e-01 2.843491774235110903e+00
2.102459244069199151e-01 3.663715664353596191e-01 2.274648983854770101e+00
2.183733825712249055e-01 3.562753771723711216e-01 2.574771978379856385e+00
2.110000690354756903e-01 3.551953276348460697e-01 2.552563194495661936e+00
2.043844522092491400e-01 3.429308790841882337e-01 2.794744850355079357e+00
2.191275271997807084e-01 3.450991383718575167e-01 2.843491774235110903e+00
2.206415957361532176e-01 3.227333771187954614e-01 3.350402240356756156e+00
2.117559897045149242e-01 3.440150087280228752e-01 2.820898050709319982e+00
2.198845614679669769e-01 3.339162577453265168e-01 3.102251296127079172e+00
2.125130239727011650e-01 3.328321281014918753e-01 3.079695470392444179e+00
2.058999410443845268e-01 3.205620366732869209e-01 3.301853374228683968e+00
2.111956396362184296e-01 3.081108459472690075e-01 3.597655658132063561e+00
2.206415957361532176e-01 3.227333771187954614e-01 3.350402240356756156e+00
2.085477903403014643e-01 3.143364413102779364e-01 3.451874225960878562e+00
2.159186176861858097e-01 3.154221115330322345e-01 3.476320335908333004e+00
2.132707683902688722e-01 3.216477068960411634e-01 3.328631494394874046e+00
2.111956396362184296e-01 3.081108459472690075e-01 3.597655658132063561e+00
2.164924024948516046e-01 2.956580153634818520e-01 3.872415634798286987e+00
2.259358588116425204e-01 3.102855275355942966e-01 3.634762384504886867e+00
2.138440210655350171e-01 3.018844306553754020e-01 3.738300526855968808e+00
2.212141306532470764e-01 3.029717714495380743e-01 3.755116119786695350e+00
2.185657492239304611e-01 3.091981867414316243e-01 3.618844702357487453e+00
2.164924024948516046e-01 2.956580153634818520e-01 3.872415634798286987e+00
2.217905833715575481e-01 2.831990741974174663e-01 4.111675814340871149e+00
2.312313858093859864e-01 2.978334198004274902e-01 3.890797629228301968e+00
